,SampleName,n_seqs,total_annotation_names,total_annotated_contigs,unique_annotations,total_false_crbb,total_OrthoDB,unique_OrthoDB,false_crbb_OrthoDB,total_Pfam,unique_Pfam,false_crbb_Pfam,total_Rfam,unique_Rfam,false_crbb_Rfam,total_annotated_w_false_crbb
272,MMETSP0799,105756,113633,72274,27845,6835,31238,19061,4666,81918,11180,2452,477,134,31,7149
273,MMETSP0800,37562,49936,28391,11438,1214,11798,7073,838,37605,6212,428,533,173,37,1303
274,MMETSP0802,2991,43363,12131,7874,51,8474,4984,34,34744,3707,15,145,48,1,50
275,MMETSP0803,28497,65132,26036,19132,4244,22263,15164,3566,42667,4946,746,202,61,20,4332
276,MMETSP0804,40880,75511,27602,14140,NA,16653,9362,NA,58684,7296,NA,174,50,NA,0
277,MMETSP0806,15581,39559,14133,9639,NA,11297,6882,NA,27774,3660,NA,488,139,NA,0
278,MMETSP0807,11627,48205,10242,6555,NA,7531,5319,NA,40440,3196,NA,234,51,NA,0
279,MMETSP0809,70116,48526,30703,12997,5638,14795,8929,3860,33600,4846,1934,131,46,24,5818
280,MMETSP0810,89969,59645,38003,15636,7048,18423,10705,4747,41133,5903,2568,89,35,12,7327
281,MMETSP0811,110265,65100,43761,16523,6856,20351,11225,4513,44310,6500,2542,439,147,59,7114
282,MMETSP0812,32473,46772,23047,10237,NA,10000,6525,NA,36600,5092,NA,174,60,NA,0
283,MMETSP0814,32869,43165,24169,12166,3752,12922,8094,2469,30171,5156,1424,72,24,6,3899
284,MMETSP0815,50032,77618,40033,20438,4150,22898,14064,3036,54522,8517,1274,198,60,17,4327
285,MMETSP0816,53448,42442,31664,11638,2096,10766,6876,1267,31394,6920,959,282,99,26,2252
286,MMETSP0817,45641,69763,31556,17735,2685,21567,12689,2091,48111,7107,694,85,30,6,2791
287,MMETSP0818,47874,70796,32154,17862,2615,22083,13036,2013,48610,7136,710,103,36,9,2732
288,MMETSP0819,48474,69821,31896,17832,2772,22014,12987,2155,47646,7195,711,161,54,14,2880
289,MMETSP0820,48764,71277,31299,17716,2412,21986,12979,1872,49170,7053,605,121,45,7,2484
290,MMETSP0850,897,38721,20590,9269,NA,9613,5405,NA,28497,4688,NA,611,197,NA,0
291,MMETSP0851,122164,146340,90748,35655,NA,37990,21763,NA,107140,17226,NA,1210,363,NA,0
292,MMETSP0852,2110,39858,22628,9524,81,10376,5852,58,29045,5026,22,437,137,1,81
293,MMETSP0853,28131,39017,20694,9575,1422,9793,5528,887,28541,4833,529,683,212,49,1465
294,MMETSP0878,1618,52024,26370,11630,45,11983,7087,28,39825,5900,19,216,61,0,47
295,MMETSP0879,31919,52874,26475,11778,704,12223,7253,483,40557,5919,258,94,22,7,748
296,MMETSP0880,998,50566,26285,11545,30,11872,7024,19,38522,5832,9,172,44,1,29
297,MMETSP0881,31920,51987,26546,11569,739,11998,7118,473,39786,5892,310,203,58,21,804
298,MMETSP0882,37257,66847,31151,18042,NA,23294,14424,NA,43495,5711,NA,58,20,NA,0
299,MMETSP0883,35078,63568,29304,16999,NA,21790,13464,NA,41733,5378,NA,45,18,NA,0
300,MMETSP0884,35880,65683,30126,17779,2587,22652,14177,1999,42969,5542,646,62,21,8,2653
301,MMETSP0885,36878,68946,31242,18327,2242,23598,14830,1733,45300,5718,556,48,21,4,2293
302,MMETSP0886,1220,49310,20332,10919,143,12833,7546,88,36360,4350,56,117,37,0,144
303,MMETSP0887,26269,58386,22507,12838,2207,14827,8477,1324,43458,5294,965,101,33,7,2296
304,MMETSP0888,27756,68445,24164,13917,1564,16614,9527,1010,51700,5857,611,131,52,10,1631
305,MMETSP0889,24178,58618,21052,12636,2095,14403,8453,1307,44120,5017,863,95,26,10,2180
306,MMETSP0890,3827,38168,19058,9216,243,7646,4725,116,30419,5190,128,103,33,4,248
307,MMETSP0891,22054,47411,17414,9250,906,8129,5082,692,39174,5210,313,108,33,2,1007
308,MMETSP0892,25448,34322,19486,8962,2073,7414,4644,1066,26816,4965,1077,92,32,8,2151
309,MMETSP0893,26579,38165,20424,9329,790,8068,5093,472,30011,5342,345,86,29,8,825
310,MMETSP0894,30847,40828,19057,11082,2460,12360,7528,1709,28376,4604,818,92,31,3,2530
311,MMETSP0895,27533,35644,16223,10217,2288,11552,7283,1706,23939,3774,641,153,55,12,2359
312,MMETSP0896,22791,32039,13818,8604,NA,9753,6190,NA,22203,3135,NA,83,33,NA,0
313,MMETSP0897,25548,27550,13308,8243,NA,9593,6055,NA,17782,3060,NA,175,66,NA,0
314,MMETSP0898,34041,52510,27883,11932,894,12494,7492,580,39927,6061,348,89,23,7,935
315,MMETSP0899,33903,52020,27817,11793,908,12467,7456,611,39440,6090,339,113,29,6,956
316,MMETSP0900,33908,52269,27563,11701,873,12486,7440,590,39666,6103,321,117,34,4,915
317,MMETSP0901,31884,49978,26733,11480,947,11999,7142,601,37888,5869,403,91,24,7,1011
318,MMETSP0902,43953,53562,33500,12782,1846,12889,7254,1012,40439,7293,950,234,63,11,1973
319,MMETSP0903,44530,56008,33878,13013,1596,13034,7321,890,42873,7403,819,101,25,9,1718
320,MMETSP0904,41604,50752,30631,12965,2194,12241,7186,1323,37966,7196,935,545,171,50,2308
321,MMETSP0905,43618,55980,33557,13019,1408,13136,7393,816,42394,7457,700,450,139,24,1540
322,MMETSP0906,59819,54183,38216,13534,2125,17083,8859,1477,36661,6832,738,439,204,48,2263
323,MMETSP0907,57054,53605,39585,14103,2411,17435,9237,1690,35923,6726,847,247,119,43,2580
324,MMETSP0908,54452,51425,37874,13593,2513,16579,8844,1736,34638,6409,929,208,94,33,2698
325,MMETSP0909,2602,43552,32520,11565,130,14269,7516,85,28749,5828,46,534,200,1,132
326,MMETSP0910,38998,46325,30320,11805,2353,12722,6927,1439,33498,6174,1005,105,31,9,2453
327,MMETSP0911,28815,30046,21168,8706,1235,8820,5085,797,20896,4624,462,330,90,17,1276
328,MMETSP0912,1047,1037,814,341,49,363,187,27,674,207,22,0,0,0,49
329,MMETSP0913,25207,24102,17727,7378,698,7395,4325,492,16415,4034,218,292,91,20,730
330,MMETSP0914,37411,73655,34285,24630,4690,30107,21889,3999,43464,5068,811,84,22,4,4814
331,MMETSP0915,33212,65096,30252,20831,3887,25712,18056,3227,39322,4863,750,62,22,6,3983
332,MMETSP0916,32727,63858,29842,21050,3601,26013,18366,3052,37779,4723,626,66,20,5,3683
333,MMETSP0917,32246,65132,29578,20665,3519,25653,18086,2933,39369,4748,671,110,35,12,3616
334,MMETSP0918,32428,44450,26170,10593,1364,10373,6029,818,33995,6150,620,82,23,3,1441
335,MMETSP0920,1547,36098,25201,10173,NA,9797,6102,NA,26132,5743,NA,169,55,NA,0
336,MMETSP0924,31378,22036,20587,8939,4367,9418,6805,3277,12590,4266,1780,28,9,6,5063
337,MMETSP0929,9005,33363,8209,5826,204,6230,3753,154,26857,2720,49,276,83,21,224
338,MMETSP0930,9482,20339,8338,5299,270,5021,3178,207,15192,2354,61,126,39,4,272
339,MMETSP0932,4990,3536,3250,1496,276,1518,913,188,1917,621,80,101,39,19,287
340,MMETSP0933,547,32278,8459,5708,12,6071,3492,8,26097,2830,3,110,35,0,11
341,MMETSP0936,1792,31004,8368,5911,111,5998,3695,68,24859,2728,44,147,53,10,122
342,MMETSP0937,467,1490,423,284,25,275,159,15,1214,147,11,1,0,0,26
343,MMETSP0938,9193,30469,8376,5862,391,6058,3668,240,24190,2693,143,221,67,25,408
344,MMETSP0939,8659,30754,8160,6321,454,6764,4315,332,23806,2389,117,184,56,17,466
345,MMETSP0941,14102,42455,12627,7942,458,8440,5505,357,33853,3750,109,162,49,12,478
346,MMETSP0942,26963,45187,23156,13505,3338,17055,11088,2743,27830,3187,637,302,91,36,3416
347,MMETSP0943,38090,62363,29445,16748,2672,19865,11565,1912,41975,6044,787,523,161,68,2767
348,MMETSP0944,37912,61486,29116,16281,2653,19514,11571,1909,40918,5808,776,1054,322,110,2795
349,MMETSP0945,20895,37093,17404,10055,3200,8879,6438,2161,27994,4195,1119,220,72,30,3310
350,MMETSP0946,19763,32857,16433,9378,3879,8253,6063,2638,24425,3856,1373,179,53,22,4033
351,MMETSP0947,41406,76576,31746,14538,2578,13005,8358,1545,63410,7701,1143,161,53,18,2706
352,MMETSP0948,39613,69612,30331,13883,NA,12342,8035,NA,57092,7211,NA,178,47,NA,0
353,MMETSP0949,39051,68148,29810,13546,NA,12018,7829,NA,55997,7050,NA,133,40,NA,0
354,MMETSP0950,41979,75121,31782,14394,2607,12830,8234,1564,62035,7556,1141,256,81,21,2726
355,MMETSP0954,20518,40365,15506,8665,1106,7810,5197,651,32437,4385,490,118,46,13,1154
356,MMETSP0955,18613,32084,13920,7780,1239,6929,4657,775,24925,3881,487,230,73,26,1288
357,MMETSP0956,18498,30872,13850,7657,1531,6850,4596,957,23685,3740,605,337,108,43,1605
358,MMETSP0957,17377,27660,12753,7171,1354,6282,4227,836,21135,3477,537,243,76,28,1401
359,MMETSP0958,1898,38877,17193,8968,102,9117,5733,64,29469,3896,41,291,90,0,105
360,MMETSP0959,26768,40752,17939,9307,1038,9685,6089,677,30419,4040,365,648,209,51,1093
361,MMETSP0960,3666,40140,16462,8788,109,9083,5713,69,30819,3848,42,238,76,11,122
362,MMETSP0961,641,44510,16353,8910,17,9277,5754,8,34977,3940,10,256,87,0,18
363,MMETSP0962,10585,14369,7946,4810,NA,5326,3434,NA,8907,1687,NA,136,39,NA,0
364,MMETSP0963,21116,28754,15615,8535,NA,9764,6151,NA,18884,3209,NA,106,45,NA,0
365,MMETSP0964,27026,49399,22042,12192,1829,14053,8658,1311,34914,4574,556,432,128,41,1908
366,MMETSP0965,26520,42509,20843,11134,2091,12809,7881,1512,29467,4206,636,233,75,11,2159
367,MMETSP0970,37281,49645,30331,12662,1763,13792,8021,1183,35802,6359,714,51,14,6,1903
368,MMETSP0971,1956,55967,31594,13439,64,15252,8849,42,40632,6768,22,83,24,0,64
369,MMETSP0972,1041,51390,30357,12788,39,14057,8185,25,37274,6433,16,59,16,0,41
370,MMETSP0973,38954,51442,31244,12826,1619,14373,8274,1151,37013,6663,602,56,16,0,1753
371,MMETSP0974,34446,68453,28670,16999,NA,21627,12649,NA,46630,5725,NA,196,50,NA,0
372,MMETSP0975,1151,64687,27960,16406,38,20440,11901,31,44058,5537,10,189,54,0,41
373,MMETSP0976,34837,69683,29015,17481,NA,22182,13146,NA,47083,5664,NA,418,114,NA,0
374,MMETSP0977,32790,65312,27970,17072,NA,21275,12693,NA,43944,5542,NA,93,18,NA,0
375,MMETSP0982,51740,72872,34542,19058,1339,25116,15025,1210,47305,6466,160,451,100,21,1391
376,MMETSP0983,50372,68728,34068,18317,1558,23861,14086,1316,44558,6357,273,309,71,13,1602
377,MMETSP0984,45204,67691,32502,18199,1633,23099,13814,1392,43973,6119,289,619,146,29,1710
378,MMETSP0985,44622,66639,32313,17912,1855,22777,13636,1592,43487,6158,324,375,89,24,1940
379,MMETSP0986,69530,108662,49735,23872,5753,29270,16457,3884,79169,9021,2047,223,61,16,5947
380,MMETSP0987,70994,109196,50246,24057,5505,29806,16647,3749,79197,9143,1914,193,61,15,5678
381,MMETSP0988,72388,106786,50664,23917,6159,29407,16406,4187,77138,9116,2166,241,71,23,6376
382,MMETSP0989,70975,112119,50571,24525,5739,30124,16937,3892,81758,9236,2024,237,63,20,5936
383,MMETSP0990,72218,73394,50040,20758,4435,26953,15064,3374,46079,8705,1219,362,113,25,4618
384,MMETSP0991,92368,112519,70759,29030,3466,39633,21802,2690,72598,11670,1016,288,73,8,3714
385,MMETSP0992,75372,83667,56032,24164,6303,31700,17759,4557,51728,9103,1994,239,72,27,6578
386,MMETSP0993,89404,105445,67010,27646,3642,37629,20570,2882,67518,11131,1000,298,80,18,3900
387,MMETSP0994,41202,64424,34090,20722,6309,25238,15657,4682,39091,6204,1754,95,22,7,6443
388,MMETSP0995,40537,62110,33158,19886,5778,24319,14823,4244,37707,6181,1673,84,22,12,5929
389,MMETSP0996,40306,63424,33272,20129,6121,24642,15193,4543,38688,6095,1728,94,17,4,6275
390,MMETSP0997,41156,66387,34101,20885,5798,25560,15843,4310,40697,6322,1635,130,30,8,5953
391,MMETSP0998,39071,59339,29134,12168,NA,11560,6895,NA,47468,6957,NA,311,94,NA,0
392,MMETSP1001,33934,54791,25521,11101,1638,10487,6417,988,43783,6186,677,521,165,61,1726
393,MMETSP1005,27886,36537,20480,8809,1580,8031,5054,973,28358,4738,645,148,55,15,1633
394,MMETSP1006,29659,45686,24256,15095,NA,18810,11891,NA,26811,4492,NA,65,11,NA,0
395,MMETSP1007,29591,45148,24059,14806,NA,18681,11744,NA,26417,4470,NA,50,11,NA,0
396,MMETSP1008,35540,54905,29080,17884,5431,22405,13937,4056,32386,5500,1526,114,28,6,5588
397,MMETSP1009,27243,40339,21923,13336,4479,16983,10728,3406,23262,3972,1199,94,22,4,4609
398,MMETSP1010,1072,52095,27446,11314,33,10736,6569,19,41096,6502,12,263,86,1,32
399,MMETSP1012,70254,115048,51906,19035,NA,22294,13900,NA,91805,12501,NA,949,363,NA,0
400,MMETSP1013,36894,52446,27414,11247,NA,10690,6594,NA,41621,6250,NA,135,44,NA,0
401,MMETSP1015,125515,155652,98270,33133,9780,28693,17246,4630,126798,19510,5797,161,46,20,10447
402,MMETSP1016,127015,162991,99015,34049,9491,29339,17550,4356,133473,20086,5745,179,51,26,10127
403,MMETSP1017,124838,154108,97563,33011,9831,28714,17210,4566,125239,19404,5940,155,41,24,10530
404,MMETSP1032,123210,206500,99600,52109,10364,67074,37066,7657,139064,19243,3106,362,73,9,10772
405,MMETSP1033,120654,205191,97748,51218,10036,65965,36477,7453,138934,19047,2967,292,53,7,10427
406,MMETSP1034,121881,198429,97833,49808,10133,64455,34854,7440,133644,19168,3065,330,72,12,10517
407,MMETSP1035,119621,213298,97056,51796,9154,67117,37464,6934,145814,19037,2628,367,69,17,9579
408,MMETSP1036,134290,188463,102053,40173,11263,41605,23170,6046,146712,21091,5917,146,23,8,11971
409,MMETSP1037,137944,182940,101869,39182,12124,40637,22572,6550,142018,20710,6309,285,64,23,12882
410,MMETSP1038,136736,194440,102399,40826,NA,42064,23301,NA,152215,21575,NA,161,25,NA,0
411,MMETSP1039,1042,42879,24491,10034,NA,9483,5452,NA,33304,5970,NA,92,26,NA,0
412,MMETSP1040,2345,39316,22151,9096,158,8764,5138,94,30339,5205,68,213,63,10,172
413,MMETSP1041,43207,75856,33915,17120,4034,19527,11100,2725,56168,7170,1431,161,46,13,4169
414,MMETSP1042,50835,98581,40800,20438,4862,23882,13551,3302,74440,8161,1705,259,76,29,5036
415,MMETSP1043,43557,78195,34595,17317,4691,19526,11056,3019,58506,7194,1799,163,48,13,4831
416,MMETSP1047,63132,104411,47894,23279,7697,26524,15499,5008,77680,9286,2960,207,52,12,7980
417,MMETSP1048,36932,78563,30790,14425,3527,14708,8662,2105,63707,7022,1584,148,40,8,3697
418,MMETSP1049,49537,72324,34870,14571,3026,14655,8855,1862,57383,7556,1192,286,81,26,3080
419,MMETSP1050,61034,87959,45756,21930,NA,26398,16290,NA,61304,7552,NA,257,76,NA,0
420,MMETSP1052,48484,79514,37757,16616,3143,19181,10674,1912,59901,8684,1323,432,164,43,3278
421,MMETSP1054,43299,75289,34029,16135,2357,17481,9859,1505,57489,8327,914,319,107,21,2440
422,MMETSP1055,2187,76429,36861,16574,136,19445,10941,89,56454,8541,52,530,131,1,142
423,MMETSP1057,228,260,173,62,13,50,26,7,206,40,4,4,2,1,12
424,MMETSP1058,33378,58394,26583,11184,591,11292,6309,348,46914,6559,292,188,52,11,651
425,MMETSP1059,22519,44719,19435,8982,594,8795,4870,313,35779,5197,294,145,35,11,618
426,MMETSP1060,29381,50684,22800,10881,942,12852,7221,691,37385,5091,282,447,128,28,1001
427,MMETSP1061,34725,51786,27234,12042,866,14563,8084,686,36628,5689,217,595,177,39,942
428,MMETSP1062,42787,68927,32128,13311,1480,12909,7479,862,55547,7856,737,471,161,45,1644
429,MMETSP1063,40929,68661,30703,12925,1202,12532,7299,691,55867,7691,607,262,84,20,1318
430,MMETSP1064,29571,49313,22812,9196,852,8494,5325,489,40555,5304,410,264,74,9,908
431,MMETSP1065,41105,56992,32837,12061,896,11910,7107,566,44841,7250,365,241,70,13,944
432,MMETSP1066,65714,66983,43079,15444,3279,15291,9082,1859,51474,8404,1637,218,53,9,3505
433,MMETSP1067,59660,64210,43668,16870,2745,20392,11409,1898,43502,7678,997,316,106,27,2922
434,MMETSP1068,71329,94384,49488,26153,3601,33634,20164,2837,60232,9167,857,518,161,47,3741
435,MMETSP1070,34797,63904,28820,13702,1170,15280,8837,805,48328,6611,404,296,87,26,1235
436,MMETSP1071,40061,59220,32816,13694,907,15544,8542,620,43293,7131,327,383,113,31,978
437,MMETSP1074,137033,158204,108536,35806,8833,34329,18832,4558,123465,21772,4854,410,112,24,9436
438,MMETSP1075,139430,165956,110158,36388,8096,35380,19195,4196,129995,22111,4420,581,154,37,8653
439,MMETSP1080,839,42527,14794,10679,64,12362,7968,58,30017,3317,5,148,46,1,64
440,MMETSP1081,1336,55771,29179,13766,121,12786,8067,83,42801,6973,37,184,50,0,120
441,MMETSP1082,540,48163,11737,8489,NA,9694,6096,NA,38303,3321,NA,166,43,NA,0
442,MMETSP1083,44417,66881,35065,17860,NA,19882,12287,NA,46835,7341,NA,164,48,NA,0
443,MMETSP1084,14898,45196,13548,9775,819,11319,7326,641,33718,3407,218,159,47,9,868
444,MMETSP1085,3456,34187,9862,6770,118,7786,4634,80,26086,2980,35,315,104,5,120
445,MMETSP1086,2798,30105,15765,8884,310,9270,6254,225,20640,3432,92,195,49,4,321
446,MMETSP1089,56304,91278,39523,21959,4715,23636,15849,3471,67352,7957,1402,290,104,32,4905
447,MMETSP1090,39455,63675,32580,19312,3838,24203,14573,2862,39370,6209,1047,102,22,4,3913
448,MMETSP1091,51198,57537,36224,15715,5023,18211,10616,3389,39139,7312,1873,187,49,6,5268
449,MMETSP1094,87610,96143,64944,28018,9437,30918,18719,6313,64913,11274,3417,312,84,30,9760
450,MMETSP1095,5285,40556,20750,9302,323,8425,5836,200,32084,4574,134,47,16,1,335
451,MMETSP1096,74018,81517,53487,23637,NA,25654,15078,NA,55549,10395,NA,314,93,NA,0
452,MMETSP1097,19296,18746,12964,7107,NA,8174,5583,NA,10091,2308,NA,481,157,NA,0
453,MMETSP1098,65865,78528,47925,20320,8023,21870,14073,5258,56379,9126,3097,279,85,27,8382
454,MMETSP1100,83790,109099,67607,34721,10377,44378,27600,8001,64512,10981,2828,209,48,16,10845
455,MMETSP1101,73662,96749,56435,25438,10168,28202,17373,6867,68248,9884,3675,299,72,19,10561
456,MMETSP1102,100847,94548,66657,25817,7770,29322,18250,5463,64791,10000,2674,435,128,30,8167
457,MMETSP1103,27001,66327,21499,11337,1001,9976,6429,581,55972,5848,481,379,117,39,1101
458,MMETSP1104,31307,61091,27678,16906,4432,20018,13690,3677,40883,4224,838,190,56,9,4524
459,MMETSP1105,31721,52444,25437,10493,1683,10224,6560,1002,42129,5342,768,91,30,9,1779
460,MMETSP1106,39052,63030,28272,16519,2419,20042,11980,1886,42851,5654,584,137,34,13,2483
461,MMETSP1107,25172,49503,21770,11172,1766,11547,7190,1087,37748,4628,740,208,63,16,1843
462,MMETSP1110,138369,204411,110729,44029,12025,44462,24905,6506,159725,23884,6213,224,48,13,12732
463,MMETSP1114,55089,65469,45842,18075,3510,25975,14324,2805,39311,5947,855,183,59,29,3689
464,MMETSP1115,75291,112625,59806,23118,4923,20557,11391,2579,91891,13603,2581,177,49,14,5174
465,MMETSP1116,68167,87009,52689,19921,5514,17441,9726,2857,69260,12035,2894,308,90,23,5774
466,MMETSP1117,64980,81013,49823,18963,5103,16659,9438,2745,64067,11176,2595,287,88,19,5359
467,MMETSP1122,73622,113800,59609,23143,4594,20787,11539,2480,92930,13597,2369,83,13,3,4852
468,MMETSP1123,64145,67085,47390,17063,5452,15128,8907,2903,51642,9825,2730,315,101,41,5674
469,MMETSP1124,63086,70556,47625,17800,5846,15798,9169,3140,54322,10352,2968,436,132,35,6143
470,MMETSP1125,68385,99708,54780,21646,5448,19224,10760,2740,80181,12578,2984,303,86,34,5758
471,MMETSP1126,99,168,75,39,4,42,19,3,126,25,0,0,0,0,3
472,MMETSP1127,32282,49490,22605,12252,967,14918,9068,810,34325,4247,178,247,52,9,997
473,MMETSP1128,29099,46645,21560,11635,1017,13881,8392,833,32553,4158,194,211,42,12,1039
474,MMETSP1129,28337,46752,21762,10878,2107,11436,6974,1378,35204,4908,793,112,35,7,2178
475,MMETSP1130,1288,1256,831,360,34,393,254,26,844,162,5,19,9,3,34
476,MMETSP1131,15320,11138,8137,3615,284,3628,2455,197,7207,1624,73,303,116,30,300
477,MMETSP1132,31184,49727,23881,11685,2208,12397,7684,1459,37145,5211,817,185,51,10,2286
478,MMETSP1136,60021,65631,38295,20049,4972,23377,14580,3727,42073,7271,1411,181,40,9,5147
479,MMETSP1137,1489,36495,22028,11539,169,12497,7876,119,23706,4597,53,292,93,1,173
480,MMETSP1138,45302,49383,28446,14888,4391,16623,10232,3113,32488,5965,1436,272,73,15,4564
481,MMETSP1139,25079,40110,19994,10655,2307,12300,7212,1600,27705,4185,770,105,33,12,2382
482,MMETSP1140,30485,42173,22542,11368,2299,12898,7466,1563,28921,4836,755,354,132,23,2341
483,MMETSP1141,32338,59614,26965,15550,1818,18796,11455,1511,40553,5129,345,265,76,21,1877
484,MMETSP1142,36164,60731,29160,16642,2006,20376,12642,1707,40026,5271,344,329,85,14,2065
485,MMETSP1143,37874,63491,30958,17857,2684,21826,13755,2266,41403,5369,467,262,70,21,2754
486,MMETSP1144,35667,60978,29079,16891,1939,20611,12922,1612,40003,5210,377,364,93,13,2002
487,MMETSP1147,2542,887,1068,433,283,543,431,257,325,88,45,19,6,6,308
488,MMETSP1148,119,55,69,28,NA,36,29,NA,14,4,NA,5,1,NA,0
489,MMETSP1150,51882,83060,44150,27648,4534,34632,21961,3603,48243,8204,1042,185,45,12,4657
490,MMETSP1151,50362,77905,42486,26282,5195,32730,20353,4003,44925,8115,1331,250,70,16,5350
491,MMETSP1152,52809,86796,45087,28193,3611,35717,22607,2893,50920,8571,840,159,40,11,3744
492,MMETSP1153,51612,86163,43923,27858,3667,35059,22309,2955,50939,8370,833,165,42,16,3804
493,MMETSP1154,52243,84605,43929,27493,3599,34718,21947,2894,49746,8235,813,141,30,4,3711
494,MMETSP1155,52407,87365,44046,27892,3113,35239,22210,2490,51995,8451,714,131,31,10,3214
495,MMETSP1156,51388,84411,43295,27225,3663,34334,21668,2924,49998,8221,847,79,17,7,3778
496,MMETSP1157,52313,87828,43986,27877,3190,35328,22342,2593,52407,8385,704,93,22,7,3304
497,MMETSP1159,2543,22337,8613,5444,226,4890,3363,149,17162,2589,75,285,92,24,248
498,MMETSP1160,20018,49873,17194,9126,822,10217,6024,564,39536,4476,301,120,21,6,871
499,MMETSP1161,1977,28874,11222,7004,NA,6456,4443,NA,22118,3180,NA,300,92,NA,0
500,MMETSP1162,39133,57385,31496,18262,NA,22713,14260,NA,34447,5815,NA,225,54,NA,0
501,MMETSP1163,46917,97507,39834,24136,NA,35327,23736,NA,61542,7099,NA,638,203,NA,0
502,MMETSP1164,27772,51447,24778,16364,2214,20828,14044,1823,30483,4025,435,136,40,12,2270
503,MMETSP1165,1249,48706,21325,15443,239,17552,12906,202,30870,3399,38,284,86,1,241
504,MMETSP1166,38876,82718,33388,20336,3793,27925,18474,3098,54365,5975,1044,428,132,74,4216
505,MMETSP1167,41182,62825,32192,15068,3215,14762,9472,2166,47656,7002,1142,407,135,39,3347
506,MMETSP1169,40009,67239,27862,17088,3325,18908,11762,2601,48192,6697,794,139,32,3,3398
507,MMETSP1170,11581,16865,9378,5853,632,7123,4692,525,9360,1752,113,382,114,33,671
508,MMETSP1171,20449,29135,15771,7277,1370,6512,3975,814,22333,4101,590,290,85,24,1428
509,MMETSP1172,13901,29215,11331,6437,545,5701,3830,371,23442,3307,184,72,33,7,562
510,MMETSP1173,33405,59423,27438,13650,1628,15726,8965,1172,43331,6390,501,366,117,26,1699
511,MMETSP1174,65184,70424,43853,16876,3002,16616,10014,1777,53608,9091,1328,200,53,17,3122
512,MMETSP1175,51565,55377,36767,15302,5782,17626,10855,4232,37558,6504,1842,193,53,7,6081
513,MMETSP1176,33319,43313,25502,10875,NA,9654,5772,NA,33527,6039,NA,132,41,NA,0
514,MMETSP1177,1000,49211,25140,11310,NA,10893,7156,NA,38116,5156,NA,202,89,NA,0
515,MMETSP1178,25477,31089,19242,9788,817,10692,6617,657,20028,4327,175,369,109,27,859
516,MMETSP1180,22693,25811,14350,7568,1831,7314,4779,1207,18259,3359,672,238,65,21,1900
517,MMETSP1309,15611,34173,13393,7784,571,8338,5066,375,23618,3692,148,2217,713,252,775
518,MMETSP1310,36383,80214,32069,20374,3117,22150,13728,2261,57669,8092,935,395,113,29,3225
519,MMETSP1311,14515,24761,11927,7349,1205,8520,4941,835,16022,3327,401,219,63,15,1251
520,MMETSP1312,2952,31863,9486,6498,NA,7409,4425,NA,24230,2837,NA,224,72,NA,0
521,MMETSP1315,23145,40499,18935,11219,1219,13850,8335,961,26298,4157,274,351,106,21,1256
522,MMETSP1316,4791,29082,14721,8095,297,8782,5177,197,20004,3908,105,296,92,0,302
523,MMETSP1317,28878,21465,11289,7886,2948,8323,6829,2263,11529,2002,748,1613,525,148,3159
524,MMETSP1318,32307,56097,25170,13713,2052,14078,8421,1344,41838,6426,749,181,61,13,2106
525,MMETSP1319,32559,54559,26309,15540,2618,17524,10649,1880,36812,6051,814,223,72,17,2711
526,MMETSP1320,26882,48023,22468,12117,2008,13757,7990,1340,34157,4942,724,109,36,10,2074
527,MMETSP1321,29766,56892,24584,12565,2011,13599,7885,1242,43032,5592,843,261,79,21,2106
528,MMETSP1322,30920,43597,25522,11214,2287,11996,7000,1465,31512,5577,925,89,20,2,2392
529,MMETSP1323,30809,38099,22842,11530,2725,13460,8139,1980,24488,4259,788,151,38,13,2781
530,MMETSP1324,42429,62716,32329,16204,2480,20403,12216,1915,42003,6016,612,310,83,20,2547
531,MMETSP1326,42141,64703,33837,22708,4974,27856,18663,4190,36605,5191,861,242,56,15,5066
532,MMETSP1327,15978,39777,13934,8237,640,8818,5166,445,30847,3895,211,112,34,5,661
533,MMETSP1328,27845,55126,23767,13161,2441,15191,8720,1522,39663,5444,1012,272,78,16,2550
534,MMETSP1329,1324,48681,25084,15649,81,20166,12414,63,28387,4915,20,128,42,0,83
535,MMETSP1330,16181,35688,13497,8718,1927,8796,5506,1276,26341,3936,705,551,179,54,2035
536,MMETSP1333,76564,83877,56626,23750,8180,22320,14298,5038,61193,11303,3464,364,92,24,8526
537,MMETSP1334,60887,66621,40780,20258,4683,23705,13948,3221,42465,8247,1642,451,115,24,4887
538,MMETSP1335,26549,37300,20488,10931,2451,12049,7321,1694,25160,4411,811,91,25,9,2514
539,MMETSP1336,28868,42723,22745,9718,1177,8916,5297,699,33743,5637,544,64,20,4,1247
540,MMETSP1338,107171,146848,82556,31239,NA,27170,16147,NA,119436,17952,NA,242,56,NA,0
541,MMETSP1339,24389,34592,16769,9495,NA,9428,6070,NA,24969,4285,NA,195,64,NA,0
542,MMETSP1344,110828,199684,89062,40181,NA,60622,36738,NA,138129,16796,NA,933,261,NA,0
543,MMETSP1345,2256,59940,14947,8637,NA,7921,5337,NA,51853,4051,NA,166,52,NA,0
544,MMETSP1347,4721,26134,13584,7274,199,6415,4327,132,19655,3601,65,64,25,2,199
545,MMETSP1348,22995,41241,17167,9447,1464,8384,5499,907,32700,4774,564,157,55,24,1495
